,highly_variable,means,dispersions,dispersions_norm
Mcm6,False,4.277165782912432,6.121166143386522,0.4856089
Dars,False,3.965014463737388,5.947701186419579,-0.3555154
Cxcr4,True,4.106544988601912,6.4941012793416,2.6142797
Cd55,False,2.1577679431335897,5.8874597127817525,-0.6257815
Yod1,False,2.022384845514048,5.8914044136134915,-0.5036981
Il10,True,6.7186640179847785,7.318852297287645,2.1496222
Mapkapk2,False,3.556335968793069,6.135270806107798,0.4847706
Eif2d,False,3.7797070345260853,5.993019143918057,-0.10920312
Rassf5,False,5.009927167864385,5.925182088598691,-0.657709
Ikbke,False,3.5816071294251723,6.005319284430464,-0.063285775
Srgap2,False,3.5674038355691384,5.979569035538229,-0.17188464
Fam72a,False,1.2102681023200332,5.910248553341958,-0.3277929
Ctse,False,5.293122283426883,6.106141543886073,0.0661311
Rab7b,False,0.5991815168338397,5.662957015079871,-0.69138163
Slc41a1,False,2.7495597663361946,6.078791014785008,0.30089545
Rab29,False,2.8665106321712277,5.876710806423812,-0.6901938
Nucks1,False,4.654604907205627,5.983250784797844,-0.140398
Elk4,False,3.5233214074475083,6.106620239234122,0.36393997
Mfsd4,False,2.0148735755680653,6.006858915960814,-0.0408525
Cdk18,False,9.999999999995e-13,,
Dstyk,False,1.0708605144437857,6.115718394742502,0.41217154
Rbbp5,False,1.9073584026720554,5.851137293737733,-0.66512495
Tmem81,False,1.6185818096854439,6.079225408998752,0.24925756
Mdm4,False,4.077220103558578,5.946455771192229,-0.36228448
Pik3c2b,False,0.6046892896531318,5.721383796819452,-0.47893143
Ppp1r15b,True,3.459496311598878,6.16385238212969,0.60531026
Snrpe,False,5.829558403279827,5.916720561356172,-0.8154851
Zc3h11a,True,2.4099033038081528,6.204157661964262,0.80973333
Lax1,False,5.428978783228195,6.088091243378185,0.0008719525
Atp2b4,True,3.940484402740801,6.208832200461755,1.0637845
Btg2,True,5.81082188353587,6.478520874351144,1.2675011
Chit1,True,2.0010198026007235,6.164262627748886,0.5901633
Chil1,False,0.25386597016288726,5.188387525086584,-0.66186
Ppfia4,False,0.8524621191422411,5.833925248804737,-0.06971057
Tmem183a,False,3.6740016294858706,5.979345002917489,-0.18352485
Cyb5r1,False,1.9985000408065745,5.987823579970702,-0.11716326
Adipor1,False,5.037817621896092,5.9119414956899154,-0.7434421
Klhl12,False,2.610507135920847,5.9894049577863235,-0.16368847
Rabif,False,3.7692475117139805,5.854961314085319,-0.8595754
Kdm5b,False,3.5023303562543733,6.066573768787892,0.19504833
Ppp1r12b,False,0.5266544852180728,5.474478140513928,-1.3767246
Ube2t,False,2.08980512286222,5.631541321665323,-1.5454633
Ptpn7,True,5.245166361261714,6.215966495699397,1.2251254
Arl8a,False,2.5958871800468373,6.022801491711011,-0.012310095
Rnpep,False,3.5284021974260815,5.9184154251519745,-0.42979333
Timm17a,False,4.372464956605649,5.794503981337963,-0.9971322
Shisa4,True,1.4584993788884157,6.643900115778462,2.3143275
Ipo9,False,2.7495116710539773,6.091616202903448,0.36379576
Csrp1,False,4.271694482338345,6.043320698570799,0.1322633
Phlda3,True,2.327539817466297,6.1498198880610575,0.5634334
Tmem9,False,3.11308998038376,5.954839694668642,-0.30701575
Cacna1s,False,2.150572476426593,5.891973020251093,-0.6053238
Kif21b,False,4.143317840876702,5.989329359372736,-0.12925784
Ddx59,False,1.510097992574218,5.9889175537374415,-0.04447997
Kif14,False,0.3830140606761284,4.990552153240593,-1.2544199
Zfp281,False,3.345254830722878,6.00113213310063,-0.080944635
Gm19705,False,1.5585203514766899,5.6711812947870985,-1.1887528
Ptprc,False,6.392265931358412,5.973241461206155,-0.71270406
Atp6v1g3,False,0.6494746991161748,5.78198212913984,-0.25858504
Nek7,True,4.945297173097467,6.219210777468093,1.2461323
2310009B15Rik,False,2.7222372807788884,5.870006137317454,-0.7230764
Dennd1b,False,3.763603368903082,5.96556061286297,-0.2584458
Zbtb41,True,2.069777543613988,6.3770927669257205,1.4433781
Aspm,True,1.6227422506723468,6.320024819325314,1.2145984
Cdc73,False,2.8950657591164743,5.906394316282101,-0.54461294
Glrx2,False,4.11674373484198,5.809930290301966,-1.1043282
Trove2,True,1.3107622130426249,6.429134445002647,1.5408858
Uchl5,False,3.822105691389981,5.877947571451007,-0.7346404
Rgs2,True,5.547839400498212,6.57671038955083,1.767428
Rgs1,True,6.412914375517664,7.128299167863267,1.7442856
Rgs18,False,0.25386597016288726,5.188387525086584,-0.66186
Pla2g4a,False,0.3217906466214662,5.461071524572481,0.15488774
BC003331,False,2.8916005499652373,5.993103433126438,-0.11935372
Tpr,False,5.58210522856922,6.044967350951638,-0.15503839
Hmcn1,False,9.999999999995e-13,,
Gm10138,True,2.344098166708411,6.183876316643089,0.71780294
Ivns1abp,False,4.0775844065442035,6.022863482936959,0.053006902
Swt1,False,3.898913447870562,6.019166987539595,0.0329157
Trmt1l,False,3.7567554592060106,6.101045278985704,0.4779408
Rnf2,False,3.859195519984649,5.970751698880392,-0.2302312
Fam129a,True,3.762131372667467,6.266188317096337,1.3755267
Edem3,False,1.662958211240225,6.037798756470165,0.08318224
1700025G04Rik,False,0.5600506462078387,5.465748200489292,-1.4084682
Tsen15,False,2.580577311301031,5.913261754365938,-0.5088271
Arpc5,False,6.105556003554429,6.082270483345866,-0.20167589
Ncf2,True,1.6867194780521646,6.275473348698359,1.035996
Smg7,False,2.8788723111032715,5.959356037513845,-0.28486562
Nmnat2,False,1.3372362591762903,6.026833692214919,0.09206851
Lamc1,True,1.906431857436148,6.376656023620741,1.4416273
Dhx9,False,3.9979377611934006,6.037967112005802,0.13509819
Npl,True,0.4159426922934579,5.767681352636548,1.0732508
Rgs8,False,0.7354488281838214,5.44253325052064,-1.4928819
C230024C17Rik,False,2.11766733451045,5.879639849328314,-0.66122705
Rgs16,True,5.628986899277553,6.72537407643385,2.3049076
Rnasel,False,3.1808437064989823,5.923174878409201,-0.40972087
Teddm2,True,0.784208910952595,6.004463614871176,0.55039746
Glul,False,3.9509424784897593,5.965881457241454,-0.25670195
Ier5,True,4.725690554033631,6.243430302987573,1.4029541
Mr1,False,1.9189931073436346,5.705825647025536,-1.2476648
Stx6,True,4.245070634445484,6.146444300467819,0.6003481
Xpr1,False,3.6171671561309955,6.034255510311924,0.0587496
Acbd6,False,4.509613451325378,5.874879127376513,-0.6323041
Qsox1,False,3.579741752657165,5.974549360137888,-0.19305459
Cep350,False,2.8497064855312795,6.050166805706802,0.16050988
Tor1aip1,False,4.897064222842206,5.999403258793994,-0.17712556
