,highly_variable,means,dispersions,dispersions_norm
Gm28175,False,9.999999999995e-13,,
Gm28140,False,9.999999999995e-13,,
Pantr1,False,9.999999999995e-13,,
Pou3f3,False,0.20295824463903872,4.690494079532303,-0.8179465
Dalir,False,9.999999999995e-13,,
Mrps9,False,4.0628530477882165,5.172584264788954,-0.9543246
Gpr45,False,0.6770572762543636,5.054159813753037,-0.72978354
Tgfbrap1,False,1.9908624074046137,5.227059247981156,-0.35162446
Gm28782,False,9.999999999995e-13,,
8430432A02Rik,False,0.12885301665403762,5.030489831004275,-0.0143047515
AI597479,False,1.9641846966688679,5.350813583143976,0.4791654
Fhl2,True,2.8567111555576346,5.4517924683722265,0.71046966
Gm29040,False,9.999999999995e-13,,
Nck2,False,0.9574620744197694,5.267247956042736,-0.036970682
1500015O10Rik,False,9.999999999995e-13,,
Gm29155,False,0.06438732337089235,4.9961408010097665,-0.095494926
Gm29157,False,9.999999999995e-13,,
Gm29156,False,0.026559871365701298,4.09156844471175,-2.233616
Uxs1,False,2.2466838692439945,5.1849419110470905,-0.613612
Tpp2,False,4.398441758596094,5.259197746521607,-0.42175105
Mettl21c,False,0.08245172826776623,5.252579755239134,0.51064515
Gm8251,False,0.6908581553787267,5.0548509777515305,-0.7275364
Tex30,False,3.8490843076886496,5.272152296599603,-0.30140787
Kdelc1,False,1.7165477720990605,5.184050993841677,-0.47659943
Bivm,False,1.5843938508062743,5.271152706334755,0.022605788
Ercc5,False,2.6093502129593054,5.372479599010548,0.3488081
Mettl21e,False,9.999999999995e-13,,
Gulp1,False,9.999999999995e-13,,
4930521E06Rik,False,9.999999999995e-13,,
Col3a1,False,9.999999999995e-13,,
Col5a2,False,9.999999999995e-13,,
Wdr75,False,2.8472764121954532,5.30636615253502,0.047335062
Gm5269,False,9.999999999995e-13,,
Slc40a1,False,0.06776390055200587,5.048960521943307,0.029354084
Dnah7b,False,0.02933854292405815,4.192464880499316,-1.9951291
Dnah7c,False,9.999999999995e-13,,
Slc39a10,False,2.3002341726207685,5.306366727638766,0.14170139
Gm28151,False,0.21164655068980862,5.247526555231195,0.498701
Gm28826,True,0.3236920432743015,5.5583261759824945,1.2333324
C230029F24Rik,False,9.999999999995e-13,,
4933411E06Rik,False,0.08831507090750854,5.324250902138982,0.68005294
Gm29665,False,9.999999999995e-13,,
Gm28321,False,9.999999999995e-13,,
Tmeff2,False,9.999999999995e-13,,
Gm28322,False,9.999999999995e-13,,
Gm28319,False,9.999999999995e-13,,
Gm29325,True,1.0632415825413042,5.4684170210209295,0.70378053
9330175M20Rik,False,9.999999999995e-13,,
Sdpr,False,9.999999999995e-13,,
1700072G22Rik,False,9.999999999995e-13,,
Nabp1,True,4.971183087576779,5.874062439732842,1.441766
Gm17767,False,0.2264864593571885,5.305179878592652,0.63497514
Gm28055,False,9.999999999995e-13,,
Myo1b,True,1.3735435351413103,5.556984220230656,1.0275118
Stat4,False,5.640325934800965,5.616017674245202,0.34049147
Stat1,False,5.039471646217243,5.512530851181188,0.26041988
